"YEAR","MONTH","UNIQUE_CARRIER","CARRIER","SDOM_GALLONS","NDOM_GALLONS","TDOMT_GALLONS","SDOM_COST","TS_COST","NDOM_COST","TDOMT_COST","TOTAL_COST"
2007,5,"MY","MY",0,0,0,0,23389752,0,0,23486319
2007,5,NA,NA,0,7208,7208,0,1149499,15353,15353,3834886
2007,5,"NC","NC",0,9272,448488,0,1098329,25406,1182048,1182048
2007,5,"NK","NK",6343483,0,6343483,14358928,20466009,0,14358928,20466009
2007,5,"NW","NW",75124921,25485,75150406,165631921,286340652,54793,165686714,286609226
2007,5,"OH","OH",12053056,175675,12228731,25631428,25676414,373582,26005010,26049996
2007,5,"OO","OO",24047839,0,24047839,60486808,60486808,0,60486808,60486808
2007,5,"OW","OW",296033,0,296033,709349,3141494,0,709349,3141494
2007,5,"PCQ","PCQ",0,362148,362148,0,0,1095589,1095589,1598721
2007,5,"PO","PO",418961,26793,445754,984598,16927750,60284,1044882,18220977
2007,5,"PRQ","PRQ",0,130262,130262,0,455488,263856,263856,2917297
2007,5,"QX","QX",5110718,52209,5162927,11728693,11855398,119751,11848444,11975149
2007,5,"RW","RW",5502008,0,5502008,11747899,11747899,0,11747899,11747899
2007,5,"S5","S5",5422659,0,5422659,12424911,12461376,0,12424911,12461376
2007,5,"SY","SY",2084168,10418,2094586,4791727,5075871,23480,4815207,5099351
2007,5,"TZ","TZ",4779074,891375,5670449,10145617,10599189,1813783,11959400,18752760
2007,5,"U5","U5",1315406,28258,1343664,3173868,5840891,69262,3243130,6468374
2007,5,"U7","U7",0,752527,752527,0,0,1560703,1560703,1592601
2007,5,"UA","UA",107812735,111740,107924475,225274718,403449181,234330,225509048,404305140
2007,5,"US","US",46815293,72285,46887578,96841527,134601368,147669,96989196,134749037
2007,5,"WE","WE",0,0,0,0,0,0,0,4043371
2007,5,"WN","WN",125999764,0,125999764,207176506,207176506,0,207176506,207176506
2007,5,"WO","WO",0,57176,57176,0,0,128788,128788,12963901
2007,5,"X9","X9",0,595915,595915,0,0,925702,925702,8760950
2007,5,"XE","XE",24565833,96004,24661837,20285925,21696546,223615,20509540,21920161
2007,5,"XJ","XJ",1631381,0,1631381,1351795,1351795,0,1351795,1351795
